"lagu_id","line","text","writer_id"
8,4,"Perspiciatis somnus damnatio auditor quos tracto campana damnatio cohors varietas.",8
8,5,"Quae alienus substantia verus talus astrum absens denique absens cruentus.",8
8,6,"Cunae amet condico.",8
8,7,"Tibi vitae taedium tergo ipsum.",8
8,8,"Vespillo acerbitas coaegresco defleo conturbo tactus comprehendo.",8
8,9,"Beneficium theatrum carbo aveho conitor.",8
8,10,"Creta cogito copiose.",8
9,1,"Amoveo vigor alveus custodia cumque conspergo alter omnis.",9
9,2,"Itaque deduco suasoria sortitus conitor dolorum defaeco colligo candidus.",9
9,3,"Deleo pecto absconditus carus contigo quia pauci debitis universe cauda.",9
9,4,"Admoveo dolor amo ante coniuratio amissio aufero alienus.",9
9,5,"Ullam excepturi templum eaque casus.",9
9,6,"Tamen deduco terminatio virtus.",9
9,7,"Adduco degenero tredecim adhuc statua territo tenetur bellum adficio viridis.",9
9,8,"Adnuo tres certe soleo cohaero taedium corroboro thorax.",9
9,9,"Arto cursim tamisium defessus velum adamo.",9
9,10,"Cum sto alveus corrupti cinis defetiscor curo aequus bene cursim.",9
10,1,"Confido adeptio astrum tyrannus ambulo crapula culpo aestivus.",10
10,2,"Contra fuga currus beatus studio viriliter sulum.",10
10,3,"Vulgo cultura tactus altus decumbo baiulus commodo copia pariatur sol.",10
10,4,"Antiquus ultio decipio ars tertius.",10
10,5,"Minima circumvenio utilis abutor.",10
10,6,"Conturbo vir cogo cunabula catena sustineo surculus.",10
10,7,"Nulla tero compello.",10
10,8,"Clibanus arcus cerno acer.",10
10,9,"Ulterius ventosus trepide.",10
10,10,"Laudantium constans amo.",10
11,1,"Bellicus acer cruentus assentator eius caput.",11
11,2,"Earum eveniet crinis.",11
11,3,"Illum voluptatibus crustulum cumque vilis blanditiis tempora decretum charisma cogo.",11
11,4,"Vulgivagus conscendo appositus statua.",11
11,5,"Triumphus teneo tabesco modi adamo torqueo.",11
11,6,"Cruciamentum tenetur cernuus ventosus unus.",11
11,7,"Blanditiis caveo quo.",11
11,8,"Adfero aeger creptio decor consuasor.",11
11,9,"Verus votum abstergo tunc conculco tempora cum.",11
11,10,"Soleo delego soleo deputo supellex valeo tollo suffragium adhuc.",11
12,1,"Cauda ulciscor decens desolo tunc debitis suppellex damnatio.",12
12,2,"Velociter uterque ullus adeo commodo.",12
12,3,"Bestia voro solutio antea vomica.",12
12,4,"Clibanus vigilo demo socius vilitas concido textor thesaurus dedico.",12
12,5,"Uterque amissio admiratio officiis stella.",12
12,6,"Verto aliquam vitium.",12
12,7,"Bis vestigium arma adipisci tactus copiose deinde.",12
12,8,"Thesaurus ater cattus arguo urbanus viscus.",12
12,9,"Vulgo traho corporis anser accendo studio sto adamo aegrus.",12
12,10,"Admitto cedo triumphus callide vero chirographum taedium thesaurus.",12
13,1,"Attollo id solutio capillus vorax adnuo censura verbum clibanus.",13
13,2,"Speciosus conicio catena tergum cura hic.",13
13,3,"Deludo speciosus adicio tamen.",13
13,4,"Surgo vado bene ipsam decimus strenuus impedit timor.",13
13,5,"Deripio conspergo depereo.",13
13,6,"Aperte dolores calcar.",13
13,7,"Provident acer trans comitatus color conitor vinco arca.",13
13,8,"Ago conor vado ipsum blanditiis vita caterva.",13
13,9,"Vel complectus tergum deserunt vulariter volo supellex eum tego.",13
13,10,"Contra absque viridis atrocitas tracto explicabo ultra verumtamen suspendo.",13
14,1,"Corrupti pectus depono vere ulciscor.",14
14,2,"Carbo placeat caterva trado exercitationem constans vitiosus adaugeo.",14
14,3,"Ademptio amicitia ubi clam vulgivagus pecus maxime tenus eaque.",14
14,4,"Derideo arbitro odio virga velit solutio tametsi amaritudo constans viduo.",14
14,5,"Spectaculum mollitia sit creator claustrum.",14
14,6,"Sodalitas viscus eos conturbo quos supra deinde temporibus.",14
14,7,"Abstergo quod candidus cerno ademptio labore.",14
14,8,"Audacia textor temptatio patior acer ulciscor iusto.",14
14,9,"Consuasor deinde id vicissitudo corpus.",14
14,10,"Sponte subvenio administratio inventore cavus.",14
15,1,"Defendo amoveo soluta vado decerno bellicus quibusdam coruscus cuius via.",15
15,2,"Una vilis veniam defero solus cuius.",15
15,3,"Autus certus vos tolero assentator dolores celer tremo tepesco.",15
15,4,"Vulnero accusamus testimonium vindico corrupti delectatio auxilium templum capillus ademptio.",15
15,5,"Studio verecundia cruciamentum.",15
15,6,"Clibanus terror cubitum velociter attollo caute aer consectetur calco repudiandae.",15
15,7,"Nesciunt tero usitas dolorum vulpes depraedor caveo tui averto.",15
15,8,"Uterque amissio certe suus.",15
15,9,"Tener acervus cubo cupiditate.",15
15,10,"Centum charisma sum.",15
