"subscription_id","pengguna_id","subscription_plan_jenis","tanggal_subscribe","tanggal_berakhir","status"
1,49,"Pelajar","2021-10-14","2021-11-14","inaktif"
1,50,"Keluarga","2020-06-11","2020-07-11","inaktif"
1,51,"Pelajar","2021-03-27","2021-04-27","inaktif"
1,52,"Pelajar","2021-12-06","2022-01-06","inaktif"
1,53,"Keluarga","2021-08-21","2021-09-21","inaktif"
1,54,"Perorangan","2022-12-12","2023-01-12","inaktif"
1,55,"Perorangan","2020-12-13","2021-01-13","inaktif"
1,56,"Perorangan","2021-06-03","2021-07-03","inaktif"
1,57,"Keluarga","2022-11-04","2022-12-04","inaktif"
1,58,"Perorangan","2021-06-09","2021-07-09","inaktif"
1,59,"Keluarga","2022-05-27","2022-06-27","inaktif"
1,60,"Keluarga","2022-07-18","2022-08-18","inaktif"
1,61,"Perorangan","2021-02-22","2021-03-22","inaktif"
1,62,"Pelajar","2020-05-30","2020-06-30","inaktif"
1,63,"Perorangan","2020-10-11","2020-11-11","inaktif"
1,64,"Pelajar","2020-10-28","2020-11-28","inaktif"
1,65,"Keluarga","2020-10-13","2020-11-13","inaktif"
1,66,"Keluarga","2022-08-28","2022-09-28","inaktif"
1,67,"Perorangan","2020-12-26","2021-01-26","inaktif"
1,68,"Pelajar","2020-02-16","2020-03-16","inaktif"
1,69,"Pelajar","2022-08-02","2022-09-02","inaktif"
1,70,"Keluarga","2022-10-23","2022-11-23","inaktif"
1,71,"Keluarga","2020-06-30","2020-07-30","inaktif"
1,72,"Pelajar","2022-09-17","2022-10-17","inaktif"
1,73,"Pelajar","2021-03-26","2021-04-26","inaktif"
1,74,"Perorangan","2020-05-22","2020-06-22","inaktif"
1,75,"Keluarga","2020-01-23","2020-02-23","inaktif"
1,76,"Perorangan","2021-07-07","2021-08-07","inaktif"
1,77,"Pelajar","2022-03-02","2022-04-02","inaktif"
1,78,"Pelajar","2022-03-22","2022-04-22","inaktif"
1,79,"Perorangan","2022-05-17","2022-06-17","inaktif"
1,80,"Pelajar","2022-08-05","2022-09-05","inaktif"
1,81,"Keluarga","2021-02-03","2021-03-03","inaktif"
1,82,"Perorangan","2020-03-19","2020-04-19","inaktif"
1,83,"Pelajar","2020-02-08","2020-03-08","inaktif"
1,84,"Keluarga","2022-12-14","2023-01-14","inaktif"
1,85,"Perorangan","2020-07-28","2020-08-28","inaktif"
1,86,"Pelajar","2020-01-24","2020-02-24","inaktif"
1,87,"Pelajar","2020-05-18","2020-06-18","inaktif"
1,88,"Pelajar","2020-10-22","2020-11-22","inaktif"
1,89,"Perorangan","2021-07-17","2021-08-17","inaktif"
1,90,"Pelajar","2021-09-15","2021-10-15","inaktif"
1,91,"Keluarga","2022-11-12","2022-12-12","inaktif"
1,92,"Perorangan","2021-12-30","2022-01-30","inaktif"
1,93,"Pelajar","2021-01-12","2021-02-12","inaktif"
1,94,"Keluarga","2021-12-26","2022-01-26","inaktif"
1,95,"Keluarga","2021-10-23","2021-11-23","inaktif"
1,96,"Perorangan","2021-08-19","2021-09-19","inaktif"
1,97,"Keluarga","2022-01-24","2022-02-24","inaktif"
1,98,"Perorangan","2022-07-09","2022-08-09","inaktif"
1,99,"Perorangan","2022-10-08","2022-11-08","inaktif"
1,100,"Perorangan","2020-05-19","2020-06-19","inaktif"
2,1,"Perorangan","2024-04-29","2024-05-29","aktif"
2,2,"Keluarga","2024-05-01","2024-06-01","aktif"
2,3,"Pelajar","2024-04-23","2024-05-23","aktif"
2,4,"Keluarga","2024-04-28","2024-05-28","aktif"
2,5,"Pelajar","2024-04-22","2024-05-22","aktif"
2,6,"Keluarga","2024-04-25","2024-05-25","aktif"
2,7,"Keluarga","2024-04-21","2024-05-21","aktif"
2,8,"Keluarga","2024-04-24","2024-05-24","aktif"
2,9,"Pelajar","2024-04-30","2024-05-30","aktif"
2,10,"Keluarga","2024-04-30","2024-05-30","aktif"
2,11,"Pelajar","2024-04-22","2024-05-22","aktif"
2,12,"Perorangan","2024-04-24","2024-05-24","aktif"
2,13,"Perorangan","2024-04-27","2024-05-27","aktif"
2,14,"Perorangan","2024-04-21","2024-05-21","aktif"
2,15,"Perorangan","2024-04-26","2024-05-26","aktif"
2,16,"Keluarga","2024-04-20","2024-05-20","aktif"
2,17,"Keluarga","2024-04-25","2024-05-25","aktif"
2,18,"Keluarga","2024-05-01","2024-06-01","aktif"
2,19,"Keluarga","2024-04-28","2024-05-28","aktif"
2,20,"Keluarga","2024-04-28","2024-05-28","aktif"
2,21,"Pelajar","2024-04-23","2024-05-23","aktif"
2,22,"Perorangan","2024-04-28","2024-05-28","aktif"
2,23,"Keluarga","2024-04-25","2024-05-25","aktif"
2,24,"Perorangan","2024-04-23","2024-05-23","aktif"
2,25,"Keluarga","2024-04-26","2024-05-26","aktif"
2,26,"Pelajar","2024-04-23","2024-05-23","aktif"
2,27,"Perorangan","2024-04-26","2024-05-26","aktif"
2,28,"Perorangan","2024-04-23","2024-05-23","aktif"
2,29,"Keluarga","2024-04-29","2024-05-29","aktif"
2,30,"Perorangan","2024-04-26","2024-05-26","aktif"
2,31,"Perorangan","2024-04-26","2024-05-26","aktif"
2,32,"Perorangan","2024-04-29","2024-05-29","aktif"
2,33,"Pelajar","2024-05-01","2024-06-01","aktif"
2,34,"Pelajar","2024-04-24","2024-05-24","aktif"
2,35,"Perorangan","2024-04-25","2024-05-25","aktif"
2,36,"Pelajar","2024-04-23","2024-05-23","aktif"
2,37,"Pelajar","2024-05-01","2024-06-01","aktif"
2,38,"Perorangan","2024-04-28","2024-05-28","aktif"
2,39,"Pelajar","2024-04-27","2024-05-27","aktif"
2,40,"Perorangan","2024-04-26","2024-05-26","aktif"
2,41,"Perorangan","2024-04-29","2024-05-29","aktif"
2,42,"Keluarga","2024-04-30","2024-05-30","aktif"
2,43,"Keluarga","2024-04-27","2024-05-27","aktif"
2,44,"Perorangan","2024-04-23","2024-05-23","aktif"
2,45,"Keluarga","2024-05-01","2024-06-01","aktif"
2,46,"Keluarga","2024-04-22","2024-05-22","aktif"
2,47,"Perorangan","2024-04-27","2024-05-27","aktif"
2,48,"Perorangan","2024-04-25","2024-05-25","aktif"
2,49,"Perorangan","2024-04-21","2024-05-21","aktif"
2,50,"Keluarga","2024-04-23","2024-05-23","aktif"
