"id","artis_id","label_id","judul","durasi","tanggal_rilis"
90,68,52,"agreeable crop: How to trickle",398,"2020-03-01"
91,46,53,"flustered gratitude: How to mean",424,"2021-07-09"
92,71,3,"The vigilant commonsense",211,"2020-07-14"
93,45,80,"Secrets of assured climate",124,"2022-08-30"
94,68,85,"third face",241,"2020-03-16"
95,33,44,"yearly waist",217,"2022-03-17"
96,4,39,"coarse spot",282,"2020-07-02"
97,48,22,"The stale presence",471,"2021-11-08"
98,94,23,"Discover the dental campaigning",514,"2022-01-23"
99,15,53,"unhappy hospitalisation: How to funk",322,"2022-05-09"
100,36,94,"Discover the unwelcome unemployment",422,"2022-01-12"
